jdm. töten, matar a alg., spanisch
genau, justo, spanisch
die Hauptstadt, la capital, spanisch
die Million, el millón - los millones, spanisch
der Einwohner, la/el habitante, spanisch
der /die größte, el/la más grande, spanisch
das Land, el país - los países, spanisch
berühmt, famoso/a, spanisch
die Literatur, la literatura, spanisch
der Herr - Die Dame, el senõr - la seõra, spanisch
der Kilometer, el kilómetro, spanisch
lang, largo/a, spanisch
die Realität, la realidad, spanisch
der/die schlimmste, el/la peor, spanisch
das Gebäude, la edificio, spanisch
der Turm, la torre, spanisch
das Museum, el museo, spanisch
der/die beste , el/la mejor, spanisch
mehr als + Zahlen, más de ..., spanisch
das Werk, la obra, spanisch
populär, popular, spanisch
tausend, mil, miles, spanisch
die Kneipe , el bar, spanisch
die Diskothek, la discoteca, spanisch
Vorspeise - kleine Portion, la tapa, spanisch
der/die größte, el/la mayor, spanisch
die Hitze, el calor, spanisch
der Sommer, el verano, spanisch
das bringt dich um!, Te mata!, spanisch
genauso ... wie .., tan ... como ..., spanisch
New york, Nueva York, spanisch
der Haufen - die Menge, el montón - los montones, spanisch
der Ort - der Platz, el sitio, spanisch
der Stadtplan, el plano, spanisch
die Schocklade, el chocolate, spanisch
in Fett ausgebackener Teig, el churro, spanisch
etw. besichtigen - jdn. besuchen, visitar, spanisch
während, durante, spanisch
das Rathaus, el ayuntamiento, spanisch
etw. organisieren, organizar, spanisch
der Besuch, la visita, spanisch
